Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,quote_id,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
1,66263ea99858f39581f40378,calced,1178123,ADFINES SUN,n,PNI,POOLED,9580998,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,"41,500","12,000","12,000","1,468",946,781,19,769,297,206,297,141,149,"5,073",31,"5,104","1,357","1,702","1,478","5,272",0,"3,159","9,909","11,611",0,0.877,"4,851","1,692"
2,66263ea99858f39581f40379,calced,1178124,ADFINES SEA,n,PNI,POOLED,9580962,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,"41,500","12,000","12,000","1,468",946,781,19,769,297,206,297,141,149,"5,073",31,"5,104","1,357","1,702","1,478","5,272",0,"3,159","9,909","11,611",0,0.877,"4,851","1,692"
3,66263ea99858f39581f40380,calced,1178129,ADFINES STAR,n,PNI,POOLED,9580974,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,"41,500","12,000","12,000","1,468",946,781,19,769,297,206,297,141,149,"5,073",31,"5,104","1,357","1,702","1,478","5,272",0,"3,159","9,909","11,611",0,0.877,"4,851","1,692"
4,66263ea99858f39581f40381,calced,1178130,RHONE,n,PNI,POOLED,9327164,TANKER PRODUCT,CLEAN TANKER,3006,2007,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,"41,500","12,000","12,000",551,363,341,5,264,228,148,152,119,18,"2,189",14,"2,203",586,734,"1,378","1,197",0,"2,945","5,520","6,254",0,2.08,"3,675",730
5,66263ea99858f39581f40382,calced,1178133,ADFINES SKY,n,PNI,POOLED,9580986,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,"41,500","12,000","12,000","1,468",946,781,19,769,297,206,297,141,149,"5,073",31,"5,104","1,357","1,702","1,478","5,272",0,"3,159","9,909","11,611",0,0.877,"4,851","1,692"
6,66263ea99858f39581f40383,calced,1178213,DAWN,n,PNI,POOLED,9125281,TANKER CHEMICAL,CLEAN TANKER,6253,1995,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",0,CO_1_4THS,0,0,0,"1,508",801,778,14,913,343,118,303,153,145,"5,076",32,"5,108","1,358","1,703","1,479","2,490",0,"3,159","7,128","8,830",0,1.41,"4,852","1,693"
7,66263ea99858f39581f40384,calced,1178214,CHEM PEGASUS,n,PNI,POOLED,9121754,TANKER CHEMICAL,CLEAN TANKER,9544,1995,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,"1,580",883,857,19,"1,010",349,119,307,162,146,"5,432",33,"5,465","1,453","1,822","1,491","3,800",0,"3,185","8,476","10,298",0,1.08,"4,996","1,811"
8,66263ea99858f39581f40385,calced,1178217,CHEM ANTARES,n,PNI,POOLED,9286554,TANKER CHEMICAL,CLEAN TANKER,11580,2004,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,"1,427",830,804,18,939,312,106,279,144,129,"4,988",29,"5,017","1,334","1,673","1,475","4,611",0,"3,152","9,238","10,912",0,0.942,"4,815","1,663"
9,66263ea99858f39581f40386,calced,1178219,CHEM HYDRA,n,PNI,POOLED,9486180,TANKER CHEMICAL,CLEAN TANKER,11939,2009,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,"1,277",744,718,12,841,277,97,250,131,115,"4,462",28,"4,490","1,194","1,497","1,457","4,754",0,"3,113","9,324","10,822",0,0.906,"4,601","1,488"
10,66263ea99858f39581f40387,calced,1178220,CHEM VEGA,n,PNI,POOLED,9175743,TANKER PRODUCT,CLEAN TANKER,5994,1998,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,487,327,365,3,334,235,77,141,110,14,"2,093",11,"2,104",559,701,"1,375","2,387",0,"2,938","6,700","7,401",0,1.24,"3,636",698
