Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,QuoteID,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
1,66265e1697a8f9f101012cd5,calced,1178123,ADFINES SUN,n,PNI,POOLED,9580998,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,41500,12000,12000,1468,946,781,19,769,297,206,297,141,149,5073,31,5104,1357,1702,1478,5272,0.00,3159,9909,11611,0.00,0.88,4851,1692
2,66265e1697a8f9f101012cd5,calced,1178124,ADFINES SEA,n,PNI,POOLED,9580962,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,41500,12000,12000,1468,946,781,19,769,297,206,297,141,149,5073,31,5104,1357,1702,1478,5272,0.00,3159,9909,11611,0.00,0.88,4851,1692
3,66265e1697a8f9f101012cd5,calced,1178129,ADFINES STAR,n,PNI,POOLED,9580974,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,41500,12000,12000,1468,946,781,19,769,297,206,297,141,149,5073,31,5104,1357,1702,1478,5272,0.00,3159,9909,11611,0.00,0.88,4851,1692
4,66265e1697a8f9f101012cd5,calced,1178130,RHONE,n,PNI,POOLED,9327164,TANKER PRODUCT,CLEAN TANKER,3006,2007,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,41500,12000,12000,551,363,341,5,264,228,148,152,119,18,2189,14,2203,586,734,1378,1197,0.00,2945,5520,6254,0.00,2.08,3675,730
5,66265e1697a8f9f101012cd5,calced,1178133,ADFINES SKY,n,PNI,POOLED,9580986,TANKER CHEMICAL,CLEAN TANKER,13239,2011,MALTA,SWITZERLAND,0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"19,000",II_event,"10,500","10,500","10,500","41,500",CO_4_4THS,41500,12000,12000,1468,946,781,19,769,297,206,297,141,149,5073,31,5104,1357,1702,1478,5272,0.00,3159,9909,11611,0.00,0.88,4851,1692
6,66265e1697a8f9f101012cd5,calced,1178213,DAWN,n,PNI,POOLED,9125281,TANKER CHEMICAL,CLEAN TANKER,6253,1995,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",0,CO_1_4THS,0,0,0,1508,801,778,14,913,343,118,303,153,145,5076,32,5108,1358,1703,1479,2490,0.00,3159,7128,8830,0.00,1.41,4852,1693
7,66265e1697a8f9f101012cd5,calced,1178214,CHEM PEGASUS,n,PNI,POOLED,9121754,TANKER CHEMICAL,CLEAN TANKER,9544,1995,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,1580,883,857,19,1010,349,119,307,162,146,5432,33,5465,1453,1822,1491,3800,0.00,3185,8476,10298,0.00,1.08,4996,1811
8,66265e1697a8f9f101012cd5,calced,1178217,CHEM ANTARES,n,PNI,POOLED,9286554,TANKER CHEMICAL,CLEAN TANKER,11580,2004,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,1427,830,804,18,939,312,106,279,144,129,4988,29,5017,1334,1673,1475,4611,0.00,3152,9238,10912,0.00,0.94,4815,1663
9,66265e1697a8f9f101012cd5,calced,1178219,CHEM HYDRA,n,PNI,POOLED,9486180,TANKER CHEMICAL,CLEAN TANKER,11939,2009,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,1277,744,718,12,841,277,97,250,131,115,4462,28,4490,1194,1497,1457,4754,0.00,3113,9324,10822,0.00,0.91,4601,1488
10,66265e1697a8f9f101012cd5,calced,1178220,CHEM VEGA,n,PNI,POOLED,9175743,TANKER PRODUCT,CLEAN TANKER,5994,1998,MARSHALL ISLANDS,NETHERLANDS,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",200,CO_1_4THS,200,200,200,487,327,365,3,334,235,77,141,110,14,2093,11,2104,559,701,1375,2387,0.00,2938,6700,7401,0.00,1.24,3636,698
